starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 15 18:11:28 2014	1402848688	0	594	594	594
Sun Jun 15 18:11:28 2014	1402848688	0	594	594	594
Sun Jun 15 18:11:28 2014	1402848688	0	594	594	594
Sun Jun 15 18:11:28 2014	1402848688	0	594	594	594
Sun Jun 15 18:11:33 2014	1402848693	0	595	595	594
Sun Jun 15 18:11:33 2014	1402848693	0	595	595	595
Sun Jun 15 18:11:19 2014	1402848679	0	595	595	595
Sun Jun 15 18:11:29 2014	1402848689	0	595	595	595
Sun Jun 15 18:11:29 2014	1402848689	0	595	595	595
Sun Jun 15 18:11:28 2014	1402848688	0	595	595	595
Sun Jun 15 18:11:28 2014	1402848688	0	595	595	595
Sun Jun 15 18:11:17 2014	1402848677	0	596	596	595
Sun Jun 15 18:11:40 2014	1402848700	0	596	596	596
Sun Jun 15 18:11:19 2014	1402848679	0	596	596	596
Sun Jun 15 18:11:40 2014	1402848700	0	596	596	596
Sun Jun 15 18:11:30 2014	1402848690	0	596	596	596
Sun Jun 15 18:11:33 2014	1402848693	0	596	596	596
Sun Jun 15 18:11:19 2014	1402848679	0	596	596	596
Sun Jun 15 18:11:20 2014	1402848680	0	597	597	597
Sun Jun 15 18:11:28 2014	1402848688	0	597	597	597
Sun Jun 15 18:11:28 2014	1402848688	0	598	598	598
Sun Jun 15 18:11:40 2014	1402848700	0	599	599	599
Sun Jun 15 18:11:32 2014	1402848692	0	599	599	599
Sun Jun 15 18:11:40 2014	1402848700	0	599	599	599
Sun Jun 15 18:11:28 2014	1402848688	0	599	599	599
Sun Jun 15 18:11:33 2014	1402848693	0	600	600	599
Sun Jun 15 18:11:22 2014	1402848682	0	600	600	600
Sun Jun 15 18:11:33 2014	1402848693	0	600	600	600
Sun Jun 15 18:11:40 2014	1402848700	0	600	600	600
Sun Jun 15 18:11:17 2014	1402848677	0	600	600	600
Sun Jun 15 18:11:34 2014	1402848694	0	601	601	601
Sun Jun 15 18:11:19 2014	1402848679	0	601	601	601
Sun Jun 15 18:11:29 2014	1402848689	0	602	602	601
Sun Jun 15 18:11:19 2014	1402848679	0	602	602	601
Sun Jun 15 18:11:28 2014	1402848688	0	602	602	601
Sun Jun 15 18:11:28 2014	1402848688	0	602	602	602
Sun Jun 15 18:11:40 2014	1402848700	0	602	602	602
Sun Jun 15 18:11:40 2014	1402848700	0	602	602	602
Sun Jun 15 18:11:19 2014	1402848679	0	602	602	602
Sun Jun 15 18:11:30 2014	1402848690	0	603	603	603
Sun Jun 15 18:11:28 2014	1402848688	0	603	603	603
Sun Jun 15 18:11:29 2014	1402848689	0	603	603	603
Sun Jun 15 18:11:30 2014	1402848690	0	603	604	603
Sun Jun 15 18:11:28 2014	1402848688	0	604	604	604
Sun Jun 15 18:11:40 2014	1402848700	0	604	604	604
Sun Jun 15 18:11:28 2014	1402848688	0	604	604	604
Sun Jun 15 18:11:33 2014	1402848693	0	604	604	604
Sun Jun 15 18:11:28 2014	1402848688	0	605	605	604
Sun Jun 15 18:11:28 2014	1402848688	0	605	605	605
Sun Jun 15 18:11:32 2014	1402848692	0	606	606	605
Sun Jun 15 18:11:30 2014	1402848690	0	606	606	606
Sun Jun 15 18:11:32 2014	1402848692	0	606	606	606
Sun Jun 15 18:11:34 2014	1402848694	0	606	606	606
Sun Jun 15 18:11:30 2014	1402848690	0	606	606	606
Sun Jun 15 18:11:22 2014	1402848682	0	606	606	606
Sun Jun 15 18:11:28 2014	1402848688	0	606	606	606
Sun Jun 15 18:11:28 2014	1402848688	0	606	606	606
Sun Jun 15 18:11:33 2014	1402848693	0	606	607	606
Sun Jun 15 18:11:19 2014	1402848679	0	607	607	606
Sun Jun 15 18:11:40 2014	1402848700	0	607	607	606
Sun Jun 15 18:11:17 2014	1402848677	0	607	607	607
Sun Jun 15 18:11:28 2014	1402848688	0	608	608	607
Sun Jun 15 18:11:28 2014	1402848688	0	608	608	607
Sun Jun 15 18:11:28 2014	1402848688	0	608	608	607
Sun Jun 15 18:11:29 2014	1402848689	0	608	608	607
Sun Jun 15 18:11:28 2014	1402848688	0	608	608	608
Sun Jun 15 18:11:30 2014	1402848690	0	608	608	608
Sun Jun 15 18:11:39 2014	1402848699	0	608	608	608
Sun Jun 15 18:11:33 2014	1402848693	0	609	609	609
Sun Jun 15 18:11:19 2014	1402848679	0	609	609	609
Sun Jun 15 18:11:28 2014	1402848688	0	610	610	610
Sun Jun 15 18:11:30 2014	1402848690	0	610	610	610
Sun Jun 15 18:11:30 2014	1402848690	0	610	611	610
Sun Jun 15 18:11:22 2014	1402848682	0	611	611	611
Sun Jun 15 18:11:28 2014	1402848688	0	611	611	611
Sun Jun 15 18:11:30 2014	1402848690	0	611	611	611
Sun Jun 15 18:11:22 2014	1402848682	0	611	611	611
Sun Jun 15 18:11:40 2014	1402848700	0	611	611	611
Sun Jun 15 18:11:28 2014	1402848688	0	611	611	611
Sun Jun 15 18:11:40 2014	1402848700	0	612	612	611
Sun Jun 15 18:11:33 2014	1402848693	0	612	612	611
Sun Jun 15 18:11:28 2014	1402848688	0	612	612	612
